Date	Phone	Drive	Sleep
20180129	170	0	632
20180128	149	0	440
20180127	143	0	295
20180126	197	0	717
20180125	180	45	256
20180124	188	36	615
20180123	139	54	179
20180122	421	24	727
20180121	102	100	533
20180120	233	89	422
20180119	280	67	416
20180118	140	34	296
20180117	230	47	549
20180116	227	58	600
20180115	163	138	441
20180114	392	96	465
20180113	349	285	262
20180112	299	165	369
20180111	86	33	565
20180110	86	32	416
20180109	69	44	229
20180108	80	37	388
20180107	355	147	279
20180106	432	20	220
20180105	198	135	299
20180104	206	38	461
20180103	203	33	803
20180102	130	31	412
20180101	365	35	289
